Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ClassStructRecord\ClassStructRecord.csproj,File,ClassStructRecord\ClassStructRecord.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DatabaseFrameworks\DatabaseFrameworks.csproj,File,DatabaseFrameworks\DatabaseFrameworks.csproj,,,Microsoft.EntityFrameworkCore 8.0.6,,,,,"Microsoft.EntityFrameworkCore, 8.0.6  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DatabaseFrameworks\DatabaseFrameworks.csproj,File,DatabaseFrameworks\DatabaseFrameworks.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 8.0.6,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 8.0.6  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DatabaseFrameworks\DatabaseFrameworks.csproj,File,DatabaseFrameworks\DatabaseFrameworks.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,HttpClientxRefit\HttpClientxRefit.csproj,File,HttpClientxRefit\HttpClientxRefit.csproj,,,Microsoft.Extensions.Hosting 8.0.0,,,,,"Microsoft.Extensions.Hosting, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Hosting, and replace with new package Microsoft.Extensions.Hosting 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,HttpClientxRefit\HttpClientxRefit.csproj,File,HttpClientxRefit\HttpClientxRefit.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,JsonCerverterxJsonSerializerxProtobuffer\JsonCerverterxJsonSerializerxProtobuffer.csproj,File,JsonCerverterxJsonSerializerxProtobuffer\JsonCerverterxJsonSerializerxProtobuffer.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,JsonCerverterxJsonSerializerxProtobuffer\JsonCerverterxJsonSerializerxProtobuffer.csproj,File,JsonCerverterxJsonSerializerxProtobuffer\JsonCerverterxJsonSerializerxProtobuffer.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,JsonCerverterxJsonSerializerxProtobuffer\JsonCerverterxJsonSerializerxProtobuffer.csproj,File,JsonCerverterxJsonSerializerxProtobuffer\DeserializeBenchmarks.cs,48,8,M:System.Net.Http.HttpContent.ReadAsStreamAsync,,,,,var stream = await stringContent.ReadAsStreamAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,JsonCerverterxJsonSerializerxProtobuffer\JsonCerverterxJsonSerializerxProtobuffer.csproj,File,JsonCerverterxJsonSerializerxProtobuffer\DeserializeBenchmarks.cs,31,8,M:System.Net.Http.HttpContent.ReadAsStreamAsync,,,,,var stream = await stringContent.ReadAsStreamAsync();
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ListsAndSpans\ListsAndSpans.csproj,File,ListsAndSpans\ListsAndSpans.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Mappers\Mappers.csproj,File,Mappers\Mappers.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ReferencexValue\ReferencexValue.csproj,File,ReferencexValue\ReferencexValue.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
